INFO:tensorflow:loss = 11.725726, step = 0
INFO:tensorflow:loss = 9.610677, step = 100 (46.317 sec)
INFO:tensorflow:loss = 8.773502, step = 200 (31.712 sec)
INFO:tensorflow:loss = 7.5318184, step = 300 (31.761 sec)
INFO:tensorflow:loss = 6.978885, step = 400 (31.670 sec)
INFO:tensorflow:loss = 6.644994, step = 500 (31.742 sec)
INFO:tensorflow:loss = 6.7269483, step = 600 (31.673 sec)
INFO:tensorflow:loss = 6.4184713, step = 700 (31.726 sec)
INFO:tensorflow:loss = 6.274964, step = 800 (31.689 sec)
INFO:tensorflow:loss = 6.837787, step = 900 (31.810 sec)
INFO:tensorflow:loss = 6.3468738, step = 1000 (88.426 sec)
INFO:tensorflow:loss = 5.8831115, step = 1100 (31.709 sec)
INFO:tensorflow:loss = 5.623879, step = 1200 (31.620 sec)
INFO:tensorflow:loss = 6.0937066, step = 1300 (31.827 sec)
INFO:tensorflow:loss = 5.5690575, step = 1400 (31.834 sec)
INFO:tensorflow:loss = 6.0152063, step = 1500 (31.695 sec)
INFO:tensorflow:loss = 5.874711, step = 1600 (31.792 sec)
INFO:tensorflow:loss = 5.886455, step = 1700 (31.875 sec)
INFO:tensorflow:loss = 5.342238, step = 1800 (31.768 sec)
INFO:tensorflow:loss = 5.5914664, step = 1900 (31.932 sec)
INFO:tensorflow:loss = 5.538241, step = 2000 (36.082 sec)
INFO:tensorflow:loss = 5.802762, step = 2100 (31.907 sec)
INFO:tensorflow:loss = 5.5724363, step = 2200 (32.079 sec)
INFO:tensorflow:loss = 5.026568, step = 2300 (31.889 sec)
INFO:tensorflow:loss = 5.3627734, step = 2400 (31.725 sec)
INFO:tensorflow:loss = 5.345785, step = 2500 (31.775 sec)
INFO:tensorflow:loss = 5.3162584, step = 2600 (31.821 sec)
INFO:tensorflow:loss = 4.506888, step = 2700 (31.808 sec)
INFO:tensorflow:loss = 4.714605, step = 2800 (31.802 sec)
INFO:tensorflow:loss = 4.9419365, step = 2900 (31.862 sec)
INFO:tensorflow:loss = 4.1610217, step = 3000 (86.759 sec)
INFO:tensorflow:loss = 5.201115, step = 3100 (31.735 sec)
INFO:tensorflow:loss = 5.3216863, step = 3200 (31.777 sec)
INFO:tensorflow:loss = 4.700451, step = 3300 (31.719 sec)
INFO:tensorflow:loss = 5.262567, step = 3400 (31.787 sec)
INFO:tensorflow:loss = 5.082357, step = 3500 (31.764 sec)
INFO:tensorflow:loss = 5.260498, step = 3600 (31.824 sec)
INFO:tensorflow:loss = 5.5013895, step = 3700 (31.740 sec)
INFO:tensorflow:loss = 4.986877, step = 3800 (31.811 sec)
INFO:tensorflow:loss = 5.043689, step = 3900 (31.780 sec)
INFO:tensorflow:loss = 4.268616, step = 4000 (35.871 sec)
INFO:tensorflow:loss = 4.698262, step = 4100 (31.688 sec)
INFO:tensorflow:loss = 4.8461, step = 4200 (32.059 sec)
INFO:tensorflow:loss = 5.016629, step = 4300 (31.910 sec)
INFO:tensorflow:loss = 4.264255, step = 4400 (31.948 sec)
INFO:tensorflow:loss = 4.6277013, step = 4500 (31.861 sec)
INFO:tensorflow:loss = 5.098626, step = 4600 (31.803 sec)
INFO:tensorflow:loss = 4.8618913, step = 4700 (31.802 sec)
INFO:tensorflow:loss = 4.1838303, step = 4800 (31.830 sec)
